sales_game_id,title,platform,genre,publisher,developer,release_year,source
73,Minecraft,X360,Misc,Microsoft Game Studios,,2013.0,kaggle:ulrikthygepedersen/video-games-sales
74,Animal Crossing: New Leaf,3DS,Simulation,Nintendo,,2012.0,kaggle:ulrikthygepedersen/video-games-sales
75,Mario Party DS,DS,Misc,Nintendo,,2007.0,kaggle:ulrikthygepedersen/video-games-sales
76,The Elder Scrolls V: Skyrim,X360,Role-Playing,Bethesda Softworks,,2011.0,kaggle:ulrikthygepedersen/video-games-sales
77,Super Mario Kart,SNES,Racing,Nintendo,,1992.0,kaggle:ulrikthygepedersen/video-games-sales
78,FIFA 16,PS4,Sports,Electronic Arts,,2015.0,kaggle:ulrikthygepedersen/video-games-sales
79,Wii Party,Wii,Misc,Nintendo,,2010.0,kaggle:ulrikthygepedersen/video-games-sales
80,Halo 2,XB,Shooter,Microsoft Game Studios,,2004.0,kaggle:ulrikthygepedersen/video-games-sales
81,Mario Party 8,Wii,Misc,Nintendo,,2007.0,kaggle:ulrikthygepedersen/video-games-sales
82,Pokemon Black 2/Pokemon White 2,DS,Role-Playing,Nintendo,,2012.0,kaggle:ulrikthygepedersen/video-games-sales
83,FIFA Soccer 13,PS3,Action,Electronic Arts,,2012.0,kaggle:ulrikthygepedersen/video-games-sales
84,The Sims 3,PC,Simulation,Electronic Arts,,2009.0,kaggle:ulrikthygepedersen/video-games-sales
85,GoldenEye 007,N64,Shooter,Nintendo,,1997.0,kaggle:ulrikthygepedersen/video-games-sales
86,Mario & Sonic at the Olympic Games,Wii,Sports,Sega,,2007.0,kaggle:ulrikthygepedersen/video-games-sales
87,Final Fantasy X,PS2,Role-Playing,Sony Computer Entertainment,,2001.0,kaggle:ulrikthygepedersen/video-games-sales
88,Final Fantasy VIII,PS,Role-Playing,SquareSoft,,1999.0,kaggle:ulrikthygepedersen/video-games-sales
89,Pokémon Platinum Version,DS,Role-Playing,Nintendo,,2008.0,kaggle:ulrikthygepedersen/video-games-sales
90,Pac-Man,2600,Puzzle,Atari,,1982.0,kaggle:ulrikthygepedersen/video-games-sales
91,Grand Theft Auto: Liberty City Stories,PSP,Action,Take-Two Interactive,,2005.0,kaggle:ulrikthygepedersen/video-games-sales
92,Super Mario Galaxy 2,Wii,Platform,Nintendo,,2010.0,kaggle:ulrikthygepedersen/video-games-sales
93,Star Wars Battlefront (2015),PS4,Shooter,Electronic Arts,,2015.0,kaggle:ulrikthygepedersen/video-games-sales
94,Call of Duty: Advanced Warfare,PS4,Shooter,Activision,,2014.0,kaggle:ulrikthygepedersen/video-games-sales
95,The Legend of Zelda: Ocarina of Time,N64,Action,Nintendo,,1998.0,kaggle:ulrikthygepedersen/video-games-sales
96,Crash Bandicoot 2: Cortex Strikes Back,PS,Platform,Sony Computer Entertainment,,1997.0,kaggle:ulrikthygepedersen/video-games-sales
97,Super Mario Bros. 2,NES,Platform,Nintendo,,1988.0,kaggle:ulrikthygepedersen/video-games-sales
