meta_game_id,title,platform,meta_score,user_score,release_date,developer,publisher,genre,source
203,,,,,,,,,kaggle:mohamedhanyyy/video-games
204,,,,,,,,,kaggle:mohamedhanyyy/video-games
205,,,,,,,,,kaggle:mohamedhanyyy/video-games
206,,,,,,,,,kaggle:mohamedhanyyy/video-games
207,,,,,,,,,kaggle:mohamedhanyyy/video-games
208,,,,,,,,,kaggle:mohamedhanyyy/video-games
209,,,,,,,,,kaggle:mohamedhanyyy/video-games
210,,,,,,,,,kaggle:mohamedhanyyy/video-games
211,,,,,,,,,kaggle:mohamedhanyyy/video-games
212,,,,,,,,,kaggle:mohamedhanyyy/video-games
213,,,,,,,,,kaggle:mohamedhanyyy/video-games
214,,,,,,,,,kaggle:mohamedhanyyy/video-games
215,,,,,,,,,kaggle:mohamedhanyyy/video-games
216,,,,,,,,,kaggle:mohamedhanyyy/video-games
217,,,,,,,,,kaggle:mohamedhanyyy/video-games
218,,,,,,,,,kaggle:mohamedhanyyy/video-games
219,,,,,,,,,kaggle:mohamedhanyyy/video-games
220,,,,,,,,,kaggle:mohamedhanyyy/video-games
221,,,,,,,,,kaggle:mohamedhanyyy/video-games
222,,,,,,,,,kaggle:mohamedhanyyy/video-games
223,,,,,,,,,kaggle:mohamedhanyyy/video-games
224,,,,,,,,,kaggle:mohamedhanyyy/video-games
225,,,,,,,,,kaggle:mohamedhanyyy/video-games
226,,,,,,,,,kaggle:mohamedhanyyy/video-games
227,,,,,,,,,kaggle:mohamedhanyyy/video-games
228,,,,,,,,,kaggle:mohamedhanyyy/video-games
229,,,,,,,,,kaggle:mohamedhanyyy/video-games
230,,,,,,,,,kaggle:mohamedhanyyy/video-games
231,,,,,,,,,kaggle:mohamedhanyyy/video-games
232,,,,,,,,,kaggle:mohamedhanyyy/video-games
233,,,,,,,,,kaggle:mohamedhanyyy/video-games
234,,,,,,,,,kaggle:mohamedhanyyy/video-games
235,,,,,,,,,kaggle:mohamedhanyyy/video-games
236,,,,,,,,,kaggle:mohamedhanyyy/video-games
237,,,,,,,,,kaggle:mohamedhanyyy/video-games
238,,,,,,,,,kaggle:mohamedhanyyy/video-games
239,,,,,,,,,kaggle:mohamedhanyyy/video-games
240,,,,,,,,,kaggle:mohamedhanyyy/video-games
241,,,,,,,,,kaggle:mohamedhanyyy/video-games
242,,,,,,,,,kaggle:mohamedhanyyy/video-games
243,,,,,,,,,kaggle:mohamedhanyyy/video-games
244,,,,,,,,,kaggle:mohamedhanyyy/video-games
245,,,,,,,,,kaggle:mohamedhanyyy/video-games
246,,,,,,,,,kaggle:mohamedhanyyy/video-games
247,,,,,,,,,kaggle:mohamedhanyyy/video-games
248,,,,,,,,,kaggle:mohamedhanyyy/video-games
249,,,,,,,,,kaggle:mohamedhanyyy/video-games
250,,,,,,,,,kaggle:mohamedhanyyy/video-games
251,,,,,,,,,kaggle:mohamedhanyyy/video-games
252,,,,,,,,,kaggle:mohamedhanyyy/video-games
253,,,,,,,,,kaggle:mohamedhanyyy/video-games
254,,,,,,,,,kaggle:mohamedhanyyy/video-games
255,,,,,,,,,kaggle:mohamedhanyyy/video-games
256,,,,,,,,,kaggle:mohamedhanyyy/video-games
257,,,,,,,,,kaggle:mohamedhanyyy/video-games
258,,,,,,,,,kaggle:mohamedhanyyy/video-games
259,,,,,,,,,kaggle:mohamedhanyyy/video-games
260,,,,,,,,,kaggle:mohamedhanyyy/video-games
261,,,,,,,,,kaggle:mohamedhanyyy/video-games
262,,,,,,,,,kaggle:mohamedhanyyy/video-games
263,,,,,,,,,kaggle:mohamedhanyyy/video-games
264,,,,,,,,,kaggle:mohamedhanyyy/video-games
265,,,,,,,,,kaggle:mohamedhanyyy/video-games
266,,,,,,,,,kaggle:mohamedhanyyy/video-games
267,,,,,,,,,kaggle:mohamedhanyyy/video-games
268,,,,,,,,,kaggle:mohamedhanyyy/video-games
